S000000001,YAL001C,Tfc3p,S1065,S,1065,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S268,S,268,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S270,S,270,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S275,S,275,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S277,S,277,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S378,S,378,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S434,S,434,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S522,S,522,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S526,S,526,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S529,S,529,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S546,S,546,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S881,S,881,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,S918,S,918,SGD,phosphorylated residue
S000000001,YAL001C,Tfc3p,T436,T,436,SGD,phosphorylated residue
S000000002,YAL002W,Vps8p,K23,K,23,SGD,ubiquitinylated lysine
S000000002,YAL002W,Vps8p,K37,K,37,SGD,ubiquitinylated lysine
S000000002,YAL002W,Vps8p,S1229,S,1229,SGD,phosphorylated residue
S000000002,YAL002W,Vps8p,Y662,Y,662,SGD,phosphorylated residue
S000000003,YAL003W,Efb1p,K109,K,109,SGD,succinylated residue
S000000003,YAL003W,Efb1p,K109,K,109,SGD,ubiquitinylated lysine
S000000003,YAL003W,Efb1p,K116,K,116,SGD,succinylated residue
S000000003,YAL003W,Efb1p,K128,K,128,SGD,succinylated residue
S000000003,YAL003W,Efb1p,K128,K,128,SGD,ubiquitinylated lysine
S000000003,YAL003W,Efb1p,K13,K,13,SGD,monoacetylated residue
S000000003,YAL003W,Efb1p,K13,K,13,SGD,succinylated residue
S000000003,YAL003W,Efb1p,K13,K,13,SGD,ubiquitinylated lysine
S000000003,YAL003W,Efb1p,K166,K,166,SGD,ubiquitinylated lysine
S000000003,YAL003W,Efb1p,K22,K,22,SGD,ubiquitinylated lysine
S000000003,YAL003W,Efb1p,K8,K,8,SGD,monoacetylated residue
S000000003,YAL003W,Efb1p,K8,K,8,SGD,succinylated residue
S000000003,YAL003W,Efb1p,K8,K,8,SGD,ubiquitinylated lysine
S000000003,YAL003W,Efb1p,S18,S,18,SGD,phosphorylated residue
S000000003,YAL003W,Efb1p,S3,S,3,SGD,phosphorylated residue
